Common name,Species,Rarity
ANSERIFORMES: Anatidae,,
Fulvous Whistling Duck,Dendrocygna bicolor,Rare/Accidental
Ruddy Duck,Oxyura jamaicensis,
Mute Swan,Cygnus olor,Introduced species
Trumpeter Swan,Cygnus buccinator,
Tundra Swan,Cygnus columbianus,
Whooper Swan,Cygnus cygnus,Rare/Accidental
Brent Goose,Branta bernicla,
Cackling Goose,Branta hutchinsii,Rare/Accidental
Canada Goose,Branta canadensis,
Emperor Goose,Anser canagicus,Rare/Accidental
Snow Goose,Anser caerulescens,
Ross's Goose,Anser rossii,
Pink-footed Goose,Anser brachyrhynchus,Uncertain origin
Bean Goose,Anser fabalis,Rare/Accidental
Greater White-fronted Goose,Anser albifrons,
Lesser White-fronted Goose,Anser erythropus,Uncertain originÿVulnerable
Long-tailed Duck,Clangula hyemalis,Vulnerable
Spectacled Eider,Somateria fischeri,Rare/AccidentalÿNear-threatened
King Eider,Somateria spectabilis,Rare/Accidental
Common Eider,Somateria mollissima,Rare/AccidentalÿNear-threatened
Steller's Eider,Polysticta stelleri,Rare/AccidentalÿVulnerable
Surf Scoter,Melanitta perspicillata,
Velvet Scoter,Melanitta fusca,
Black Scoter,Melanitta americana,Near-threatened
Bufflehead,Bucephala albeola,
Common Goldeneye,Bucephala clangula,
Barrow's Goldeneye,Bucephala islandica,
Smew,Mergellus albellus,Rare/Accidental
Hooded Merganser,Lophodytes cucullatus,
Goosander,Mergus merganser,
Red-breasted Merganser,Mergus serrator,
Harlequin Duck,Histrionicus histrionicus,
Common Pochard,Aythya ferina,Rare/AccidentalÿVulnerable
Canvasback,Aythya valisineria,
Redhead,Aythya americana,
Ring-necked Duck,Aythya collaris,
Tufted Duck,Aythya fuligula,Rare/Accidental
Greater Scaup,Aythya marila,Rare/Accidental
Lesser Scaup,Aythya affinis,
Garganey,Spatula querquedula,Rare/Accidental
Northern Shoveler,Spatula clypeata,
Cinnamon Teal,Spatula cyanoptera,
Blue-winged Teal,Spatula discors,
Baikal Teal,Sibirionetta formosa,Rare/Accidental
Falcated Duck,Mareca falcata,Rare/Accidental
Gadwall,Mareca strepera,
Eurasian Wigeon,Mareca penelope,
American Wigeon,Mareca americana,
Mallard,Anas platyrhynchos,
American Black Duck,Anas rubripes,Rare/Accidental
Northern Pintail,Anas acuta,
Common Teal,Anas crecca,
Wood Duck,Aix sponsa,
,,
GALLIFORMES: Odontophoridae,,
Mountain Quail,Oreortyx pictus,Introduced species
California Quail,Callipepla californica,Introduced species
,,
GALLIFORMES: Phasianidae,,
Chukar Partridge,Alectoris chukar,Introduced species
Common Pheasant,Phasianus colchicus,Introduced species
Green Pheasant,Phasianus versicolor,Extirpated
Silver Pheasant,Lophura nycthemera,Introduced species
Wild Turkey,Meleagris gallopavo,Introduced species
Ruffed Grouse,Bonasa umbellus,
Willow Grouse,Lagopus lagopus,
Rock Ptarmigan,Lagopus muta,
White-tailed Ptarmigan,Lagopus leucura,
Dusky Grouse,Dendragapus obscurus,
Sooty Grouse,Dendragapus fuliginosus,
Spruce Grouse,Falcipennis canadensis,
Greater Sage Grouse,Centrocercus urophasianus,ExtirpatedÿNear-threatened
Sharp-tailed Grouse,Tympanuchus phasianellus,
Grey Partridge,Perdix perdix,Introduced species
,,
PHOENICOPTERIFORMES: Podicipedidae,,
Pied-billed Grebe,Podilymbus podiceps,
Western Grebe,Aechmophorus occidentalis,
Clark's Grebe,Aechmophorus clarkii,
Red-necked Grebe,Podiceps grisegena,
Slavonian Grebe,Podiceps auritus,Vulnerable
Black-necked Grebe,Podiceps nigricollis,
,,
COLUMBIFORMES: Columbidae,,
Rock Dove,Columba livia,Introduced species
Oriental Turtle Dove,Streptopelia orientalis,Rare/Accidental
Eurasian Collared Dove,Streptopelia decaocto,Introduced species
Passenger Pigeon,Ectopistes migratorius,Rare/AccidentalÿExtinct
Band-tailed Pigeon,Patagioenas fasciata,
White-winged Dove,Zenaida asiatica,Rare/Accidental
Mourning Dove,Zenaida macroura,
,,
PHAETHONTIFORMES: Phaethontidae,,
Red-tailed Tropicbird,Phaethon rubricauda,Rare/Accidental
,,
CAPRIMULGIFORMES: Caprimulgidae,,
Common Nighthawk,Chordeiles minor,
Lesser Nighthawk,Chordeiles acutipennis,Rare/Accidental
Common Poorwill,Phalaenoptilus nuttallii,
Eastern Whip-poor-will,Antrostomus vociferus,Rare/AccidentalÿNear-threatened
,,
CAPRIMULGIFORMES: Apodidae,,
Black Swift,Cypseloides niger,Vulnerable
Vaux's Swift,Chaetura vauxi,
Chimney Swift,Chaetura pelagica,Rare/AccidentalÿVulnerable
White-throated Swift,Aeronautes saxatalis,
House Swift,Apus nipalensis,Uncertain origin
,,
CAPRIMULGIFORMES: Trochilidae,,
Green Violetear,Colibri thalassinus,Rare/Accidental
Xantus's Hummingbird,Hylocharis xantusii,Rare/Accidental
Magnificent Hummingbird,Eugenes fulgens,Rare/Accidental
Black-chinned Hummingbird,Archilochus alexandri,
Ruby-throated Hummingbird,Archilochus colubris,Rare/Accidental
Anna's Hummingbird,Calypte anna,
Costa's Hummingbird,Calypte costae,Rare/Accidental
Broad-tailed Hummingbird,Selasphorus platycercus,Rare/Accidental
Calliope Hummingbird,Selasphorus calliope,
Rufous Hummingbird,Selasphorus rufus,Near-threatened
,,
CUCULIFORMES: Cuculidae,,
Black-billed Cuckoo,Coccyzus erythropthalmus,Rare/Accidental
Yellow-billed Cuckoo,Coccyzus americanus,Rare/Accidental
Common Cuckoo,Cuculus canorus,Rare/Accidental
,,
GRUIFORMES: Rallidae,,
Yellow Rail,Coturnicops noveboracensis,
Virginia Rail,Rallus limicola,
Sora,Porzana carolina,
Common Gallinule,Gallinula galeata,Rare/Accidental
American Coot,Fulica americana,
,,
GRUIFORMES: Gruidae,,
Sandhill Crane,Antigone canadensis,
Demoiselle Crane,Grus virgo,Uncertain origin
Whooping Crane,Grus americana,Rare/AccidentalÿEndangered
Common Crane,Grus grus,Rare/Accidental
,,
GAVIIFORMES: Gaviidae,,
Red-throated Diver,Gavia stellata,
Black-throated Diver,Gavia arctica,Rare/Accidental
Pacific Loon,Gavia pacifica,
Great Northern Diver,Gavia immer,
White-billed Diver,Gavia adamsii,Rare/AccidentalÿNear-threatened
,,
PROCELLARIIFORMES: Diomedeidae,,
Laysan Albatross,Phoebastria immutabilis,Near-threatened
Black-footed Albatross,Phoebastria nigripes,Near-threatened
Short-tailed Albatross,Phoebastria albatrus,Vulnerable
,,
PROCELLARIIFORMES: Hydrobatidae,,
Leach's Storm-petrel,Hydrobates leucorhous,
Fork-tailed Storm-petrel,Hydrobates furcatus,
,,
PROCELLARIIFORMES: Procellariidae,,
Northern Fulmar,Fulmarus glacialis,Rare/Accidental
Cook's Petrel,Pterodroma cookii,Rare/AccidentalÿVulnerable
Murphy's Petrel,Pterodroma ultima,Rare/Accidental
Mottled Petrel,Pterodroma inexpectata,Near-threatened
Hawaiian Petrel,Pterodroma sandwichensis,Rare/AccidentalÿEndangered
Buller's Shearwater,Ardenna bulleri,Vulnerable
Short-tailed Shearwater,Ardenna tenuirostris,
Sooty Shearwater,Ardenna grisea,Near-threatened
Great Shearwater,Ardenna gravis,Rare/Accidental
Flesh-footed Shearwater,Ardenna carneipes,Near-threatened
Pink-footed Shearwater,Ardenna creatopus,Vulnerable
Black-vented Shearwater,Puffinus opisthomelas,Rare/AccidentalÿNear-threatened
Manx Shearwater,Puffinus puffinus,Rare/Accidental
,,
PELECANIFORMES: Ciconiidae,,
Wood Stork,Mycteria americana,Rare/Accidental
,,
PELECANIFORMES: Pelecanidae,,
American White Pelican,Pelecanus erythrorhynchos,
Brown Pelican,Pelecanus occidentalis,
,,
PELECANIFORMES: Ardeidae,,
American Bittern,Botaurus lentiginosus,
Least Bittern,Ixobrychus exilis,Rare/Accidental
Black-crowned Night Heron,Nycticorax nycticorax,
Green Heron,Butorides virescens,
Cattle Egret,Bubulcus ibis,Rare/Accidental
Great Blue Heron,Ardea herodias,
Great Egret,Ardea alba,
Tricolored Heron,Egretta tricolor,Rare/Accidental
Little Blue Heron,Egretta caerulea,Rare/Accidental
Snowy Egret,Egretta thula,Rare/Accidental
,,
PELECANIFORMES: Threskiornithidae,,
White-faced Ibis,Plegadis chihi,Rare/Accidental
,,
PELECANIFORMES: Fregatidae,,
Magnificent Frigatebird,Fregata magnificens,Rare/Accidental
,,
PELECANIFORMES: Sulidae,,
Red-footed Booby,Sula sula,Rare/Accidental
Brown Booby,Sula leucogaster,Rare/Accidental
Blue-footed Booby,Sula nebouxii,Rare/Accidental
Masked Booby,Sula dactylatra,Rare/Accidental
Nazca Booby,Sula granti,Rare/Accidental
,,
PELECANIFORMES: Phalacrocoracidae,,
Double-crested Cormorant,Phalacrocorax auritus,
Brandt's Cormorant,Phalacrocorax penicillatus,
Pelagic Cormorant,Phalacrocorax pelagicus,
Red-faced Cormorant,Phalacrocorax urile,Rare/Accidental
,,
CHARADRIIFORMES: Haematopodidae,,
Black Oystercatcher,Haematopus bachmani,
,,
CHARADRIIFORMES: Recurvirostridae,,
American Avocet,Recurvirostra americana,
Black-winged Stilt,Himantopus himantopus,Rare/Accidental
,,
CHARADRIIFORMES: Charadriidae,,
Grey Plover,Pluvialis squatarola,Vulnerable
Pacific Golden Plover,Pluvialis fulva,
American Golden Plover,Pluvialis dominica,
Eurasian Dotterel,Eudromias morinellus,Rare/Accidental
Common Ringed Plover,Charadrius hiaticula,Rare/Accidental
Semipalmated Plover,Charadrius semipalmatus,
Killdeer,Charadrius vociferus,Near-threatened
Piping Plover,Charadrius melodus,Rare/AccidentalÿNear-threatened
Snowy Plover,Charadrius nivosus,Rare/AccidentalÿNear-threatened
Lesser Sand Plover,Charadrius mongolus,Rare/Accidental
Mountain Plover,Charadrius montanus,Rare/AccidentalÿNear-threatened
,,
CHARADRIIFORMES: Scolopacidae,,
Upland Sandpiper,Bartramia longicauda,
Bristle-thighed Curlew,Numenius tahitiensis,Rare/AccidentalÿNear-threatened
Whimbrel,Numenius phaeopus,Rare/Accidental
Long-billed Curlew,Numenius americanus,
Far Eastern Curlew,Numenius madagascariensis,Rare/AccidentalÿEndangered
Bar-tailed Godwit,Limosa lapponica,Rare/AccidentalÿNear-threatened
Marbled Godwit,Limosa fedoa,Vulnerable
Hudsonian Godwit,Limosa haemastica,Vulnerable
Black-tailed Godwit,Limosa limosa,Rare/AccidentalÿNear-threatened
Ruddy Turnstone,Arenaria interpres,Near-threatened
Black Turnstone,Arenaria melanocephala,
Great Knot,Calidris tenuirostris,Rare/AccidentalÿEndangered
Red Knot,Calidris canutus,Near-threatened
Surfbird,Calidris virgata,
Ruff,Calidris pugnax,Rare/Accidental
Sharp-tailed Sandpiper,Calidris acuminata,Vulnerable
Stilt Sandpiper,Calidris himantopus,Near-threatened
Curlew Sandpiper,Calidris ferruginea,Rare/AccidentalÿVulnerable
Temminck's Stint,Calidris temminckii,Rare/Accidental
Spoon-billed Sandpiper,Calidris pygmaea,Rare/AccidentalÿCritically endangered
Red-necked Stint,Calidris ruficollis,Rare/AccidentalÿNear-threatened
Sanderling,Calidris alba,
Dunlin,Calidris alpina,Near-threatened
Rock Sandpiper,Calidris ptilocnemis,
Purple Sandpiper,Calidris maritima,Rare/Accidental
Baird's Sandpiper,Calidris bairdii,
Little Stint,Calidris minuta,Rare/Accidental
Least Sandpiper,Calidris minutilla,Near-threatened
White-rumped Sandpiper,Calidris fuscicollis,Rare/AccidentalÿVulnerable
Buff-breasted Sandpiper,Calidris subruficollis,Vulnerable
Pectoral Sandpiper,Calidris melanotos,
Semipalmated Sandpiper,Calidris pusilla,Near-threatened
Western Sandpiper,Calidris mauri,
Short-billed Dowitcher,Limnodromus griseus,Vulnerable
Long-billed Dowitcher,Limnodromus scolopaceus,Near-threatened
American Woodcock,Scolopax minor,Rare/Accidental
Wilson's Snipe,Gallinago delicata,
Jack Snipe,Lymnocryptes minimus,Rare/Accidental
Terek Sandpiper,Xenus cinereus,Rare/Accidental
Spotted Sandpiper,Actitis macularius,
Solitary Sandpiper,Tringa solitaria,
Grey-tailed Tattler,Tringa brevipes,Rare/Accidental
Wandering Tattler,Tringa incana,
Willet,Tringa semipalmata,Rare/Accidental
Lesser Yellowlegs,Tringa flavipes,Vulnerable
Spotted Redshank,Tringa erythropus,Rare/Accidental
Common Greenshank,Tringa nebularia,Rare/Accidental
Greater Yellowlegs,Tringa melanoleuca,Near-threatened
Wood Sandpiper,Tringa glareola,Rare/Accidental
Wilson's Phalarope,Steganopus tricolor,
Red-necked Phalarope,Phalaropus lobatus,
Grey Phalarope,Phalaropus fulicarius,
,,
CHARADRIIFORMES: Alcidae,,
Rhinoceros Auklet,Cerorhinca monocerata,
Tufted Puffin,Fratercula cirrhata,
Horned Puffin,Fratercula corniculata,
Cassin's Auklet,Ptychoramphus aleuticus,Near-threatened
Parakeet Auklet,Aethia psittacula,Rare/Accidental
Least Auklet,Aethia pusilla,Rare/Accidental
Crested Auklet,Aethia cristatella,Rare/Accidental
Marbled Murrelet,Brachyramphus marmoratus,Endangered
Kittlitz's Murrelet,Brachyramphus brevirostris,Rare/AccidentalÿNear-threatened
Pigeon Guillemot,Cepphus columba,
Ancient Murrelet,Synthliboramphus antiquus,
Scripps's Murrelet,Synthliboramphus scrippsi,Rare/AccidentalÿVulnerable
Guadalupe Murrelet,Synthliboramphus hypoleucus,Rare/AccidentalÿEndangered
Little Auk,Alle alle,Rare/Accidental
Brunnich's Guillemot,Uria lomvia,Rare/Accidental
Common Guillemot,Uria aalge,
,,
CHARADRIIFORMES: Stercorariidae,,
Long-tailed Skua,Stercorarius longicaudus,
Arctic Skua,Stercorarius parasiticus,Rare/Accidental
Pomarine Skua,Stercorarius pomarinus,
South Polar Skua,Stercorarius maccormicki,
,,
CHARADRIIFORMES: Laridae,,
Black-legged Kittiwake,Rissa tridactyla,Vulnerable
Red-legged Kittiwake,Rissa brevirostris,Rare/AccidentalÿVulnerable
Ivory Gull,Pagophila eburnea,Rare/AccidentalÿNear-threatened
Sabine's Gull,Xema sabini,
Bonaparte's Gull,Chroicocephalus philadelphia,
Black-headed Gull,Chroicocephalus ridibundus,Rare/Accidental
Little Gull,Hydrocoloeus minutus,Rare/Accidental
Ross's Gull,Rhodostethia rosea,Rare/Accidental
Laughing Gull,Leucophaeus atricilla,Rare/Accidental
Franklin's Gull,Leucophaeus pipixcan,
Black-tailed Gull,Larus crassirostris,Rare/Accidental
Heermann's Gull,Larus heermanni,Near-threatened
Mew Gull,Larus canus,
Ring-billed Gull,Larus delawarensis,
California Gull,Larus californicus,
Western Gull,Larus occidentalis,
Lesser Black-backed Gull,Larus fuscus,Rare/Accidental
American Herring Gull,Larus smithsonianus,
Thayer's Gull,Larus thayeri,
Iceland Gull,Larus glaucoides,Rare/Accidental
Slaty-backed Gull,Larus schistisagus,Rare/Accidental
Glaucous-winged Gull,Larus glaucescens,
Glaucous Gull,Larus hyperboreus,
Great Black-backed Gull,Larus marinus,Rare/Accidental
Aleutian Tern,Onychoprion aleuticus,Rare/AccidentalÿVulnerable
Least Tern,Sternula antillarum,Rare/Accidental
Caspian Tern,Hydroprogne caspia,
Black Tern,Chlidonias niger,
Common Tern,Sterna hirundo,
Arctic Tern,Sterna paradisaea,
Forster's Tern,Sterna forsteri,
